symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU2,-2,0,0.25,946998660,946998694,1,12045.50,12021.25,$(48.50),07/11/2022 00:42:05,07/11/2022 01:55:52,1h 13min 47sec
MNQU2,-2,0,0.25,946998717,946998804,1,11817.50,11813.00,$(9.00),07/11/2022 22:19:27,07/11/2022 22:46:09,26min 41sec
MNQU2,-2,0,0.25,946998748,946998804,1,11818.75,11813.00,$(11.50),07/11/2022 22:21:01,07/11/2022 22:46:09,25min 7sec
MNQU2,-2,0,0.25,946998871,946998818,1,11931.00,11929.25,$(3.50),07/12/2022 09:21:20,07/12/2022 09:06:11,15min 9sec
MNQU2,-2,0,0.25,946998962,946998915,1,11984.75,11975.25,$(19.00),07/12/2022 09:35:54,07/12/2022 09:32:29,3min 25sec
MNQU2,-2,0,0.25,949809011,946998982,1,12022.75,12009.00,$(27.50),07/12/2022 09:39:21,07/12/2022 09:38:00,1min 21sec
MNQU2,-2,0,0.25,949809079,949809027,1,11903.75,12007.00,$206.50,07/12/2022 09:55:09,07/12/2022 09:40:12,14min 57sec
MNQU2,-2,0,0.25,949809116,949809160,1,11818.25,11854.50,$72.50,07/12/2022 10:08:12,07/12/2022 10:19:54,11min 42sec
MNQU2,-2,0,0.25,949809176,949809198,1,11787.00,11762.00,$(50.00),07/12/2022 15:06:03,07/12/2022 15:11:57,5min 53sec
MNQU2,-2,0,0.25,949809214,949809261,1,11776.00,11752.50,$(47.00),07/12/2022 15:14:37,07/12/2022 15:23:54,9min 17sec
MNQU2,-2,0,0.25,949809301,949809345,1,11750.50,11741.25,$(18.50),07/12/2022 15:26:09,07/12/2022 15:32:25,6min 16sec
MNQU2,-2,0,0.25,949809365,949809383,1,11737.25,11712.00,$(50.50),07/12/2022 15:32:58,07/12/2022 15:38:15,5min 16sec
MNQU2,-2,0,0.25,949809399,949809462,1,11719.75,11784.75,$130.00,07/12/2022 15:38:43,07/12/2022 15:55:27,16min 43sec
MNQU2,-2,0,0.25,949809510,949809565,1,11801.25,11777.75,$(47.00),07/13/2022 01:20:39,07/13/2022 04:08:26,2h 47min 47sec
MNQU2,-2,0,0.25,949809581,949809623,1,11501.00,11501.00,$0.00,07/13/2022 08:40:09,07/13/2022 08:41:54,1min 45sec
MNQU2,-2,0,0.25,949809701,949809669,1,11571.50,11555.50,$(32.00),07/13/2022 09:02:55,07/13/2022 09:01:51,1min 3sec
MNQU2,-2,0,0.25,949809801,949809764,1,11722.25,11711.50,$(21.50),07/13/2022 10:39:53,07/13/2022 10:39:22,30sec
MNQU2,-2,0,0.25,949809847,949809823,1,11760.00,11735.00,$(50.00),07/13/2022 10:42:21,07/13/2022 10:40:24,1min 57sec
MNQU2,-2,0,0.25,949809920,949809863,1,11803.00,11796.50,$(13.00),07/13/2022 10:50:54,07/13/2022 10:46:28,4min 26sec
MNQU2,-2,0,0.25,949809998,949809940,1,11833.25,11825.75,$(15.00),07/13/2022 13:02:26,07/13/2022 10:51:36,2h 10min 50sec
MNQU2,-2,0,0.25,952810141,952810021,1,11755.75,11833.75,$156.00,07/13/2022 14:09:07,07/13/2022 13:12:04,57min 2sec
MNQU2,-2,0,0.25,952810158,952810089,1,11823.50,11814.00,$(19.00),07/13/2022 14:31:22,07/13/2022 13:54:49,36min 32sec
